,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9027272727272729,0.8945454545454548,0.8727272727272727,0.7354545454545454,0.6399999999999999,0.5918181818181818,0.9145454545454547,0.8845454545454545,0.8927272727272728,0.9236363636363636,0.8763636363636363,0.9054545454545455,0.8745454545454546,0.9345454545454546,0.9336363636363636,0.9127272727272728,0.8763636363636363,0.8663636363636364
std_acc,0.07530104869046841,0.10157438344337034,0.10139522540799045,0.09529857387085174,0.11572266647977865,0.1091249946749594,0.09019721276227242,0.12291568029673805,0.07051170701696477,0.038397658330805225,0.0972514845113915,0.13649690457544336,0.09670608106888873,0.05916778216462901,0.043607945291678024,0.08071990138335676,0.1186145922203643,0.07894448305587083
mean_roc,0.9249603174603174,0.9115410052910052,0.8915410052910051,0.7912169312169313,0.7083597883597884,0.6710185185185186,0.9241732804232804,0.9041269841269841,0.9113492063492064,0.9422949735449734,0.8994113756613757,0.9336375661375662,0.8960251322751323,0.9481746031746031,0.9487962962962962,0.9237103174603174,0.9047817460317459,0.8936177248677248
std_roc,0.06318849801331837,0.0841263406871171,0.08303176964327104,0.08248370524178385,0.09669488685336473,0.09936261414300251,0.07997542674346937,0.10348989523242325,0.06382938666607095,0.0314703118384754,0.07178727813512094,0.09694139425355443,0.07559952823583052,0.04931470085413252,0.038444997498341224,0.07665590571970461,0.10641305867142202,0.07885766059800799
