,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9027272727272727,0.9054545454545455,0.86,0.7609090909090909,0.6772727272727274,0.629090909090909,0.8872727272727273,0.8790909090909089,0.8954545454545453,0.9345454545454546,0.9054545454545455,0.8872727272727273,0.8763636363636363,0.9209090909090909,0.9245454545454546,0.9154545454545454,0.9072727272727272,0.8763636363636363
std_acc,0.06338261095837583,0.057668187371468005,0.08193930428540908,0.12997456839609844,0.1132721435852465,0.11065544767056686,0.08071990138335676,0.12318433409037553,0.12225498350470437,0.07178940735418046,0.07297684451050718,0.06719897677300482,0.07387727146876377,0.09783186791718376,0.08212568477141331,0.10357653775616234,0.0996522880439616,0.08224133002108103
mean_roc,0.9227380952380951,0.922089947089947,0.8782275132275131,0.8045767195767196,0.7281481481481482,0.703776455026455,0.9096097883597883,0.8988756613756614,0.9190806878306879,0.9521362433862434,0.9219775132275132,0.9150727513227513,0.9007738095238096,0.9363095238095237,0.9356084656084654,0.9296825396825398,0.9292195767195768,0.9013955026455026
std_roc,0.04958008986641215,0.04365595408008615,0.0701479969464744,0.10435754242807568,0.09141253510708447,0.09375586564705951,0.059581453936734335,0.10657564274676529,0.09678087587234523,0.057168097517511736,0.06754003129592433,0.059275056724293895,0.05816467154119488,0.07472929224996985,0.0681217072481621,0.08985288114152548,0.0816080151994201,0.0684773390203624
