,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9254545454545455,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8472727272727273,0.850909090909091,0.8663636363636364,0.9345454545454546,0.8672727272727272,0.9054545454545456,0.8290909090909091,0.8745454545454546,0.8663636363636364,0.9236363636363638,0.9027272727272727,0.8290909090909091
std_acc,0.06861077186950255,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.08886799570799954,0.101085022719401,0.07441785087548294,0.05916778216462901,0.10278759290983687,0.057668187371468005,0.09286976573907006,0.1081627179471698,0.08879822051675444,0.05894387300889936,0.08953968601631808,0.09098178911415856
mean_roc,0.9441931216931216,0.5,0.5,0.5,0.5,0.5,0.85739417989418,0.8696164021164021,0.8912169312169311,0.9453505291005291,0.8858465608465608,0.920542328042328,0.8462301587301587,0.8934126984126983,0.8787896825396825,0.9315079365079363,0.9113095238095239,0.8669973544973544
std_roc,0.05247697094434716,0.0,0.0,0.0,0.0,0.0,0.08376927732848756,0.08820125359827025,0.06771654705623951,0.051213628075330475,0.09701396277708145,0.0487865692141279,0.08677442752539943,0.10224484924078626,0.09057336269208784,0.0492453602399762,0.07878343411565454,0.06439701075128555
