,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9227272727272728,0.63,0.6199999999999999,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8318181818181818,0.8763636363636366,0.8281818181818181,0.9136363636363637,0.8300000000000001,0.8563636363636364,0.8218181818181819,0.8563636363636364,0.9045454545454547,0.9227272727272728,0.8881818181818183,0.8563636363636364
std_acc,0.059230604106406994,0.10818181818181818,0.07679531666161046,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.12748359155476632,0.07148946636849998,0.15925705609911095,0.06708203932499368,0.0822262550818982,0.12416997148337362,0.09396676043216401,0.09197556269048537,0.08559466268986479,0.08462361978072898,0.09054928798018794,0.10846791809654294
mean_roc,0.9327182539682539,0.6508928571428572,0.6356150793650792,0.5,0.5,0.5,0.8406944444444445,0.8983134920634921,0.8666269841269841,0.9258201058201058,0.8534391534391534,0.8836904761904762,0.8396626984126986,0.8758928571428571,0.9195965608465608,0.9306547619047618,0.8924603174603174,0.8801058201058201
std_roc,0.04587080598977604,0.08425002467191592,0.05613931188347713,0.0,0.0,0.0,0.11789867026653561,0.06839261538631344,0.11790936660282024,0.062030403183174765,0.07983202034599375,0.09259076056388639,0.08935590054429046,0.09050817669415775,0.07395394909449873,0.08217233818405939,0.08376795205136219,0.08301123925241484
