,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9327272727272728,0.6399999999999999,0.609090909090909,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8290909090909091,0.8572727272727272,0.830909090909091,0.9045454545454547,0.8472727272727273,0.8954545454545455,0.82,0.8945454545454545,0.9154545454545456,0.9145454545454547,0.8881818181818183,0.8454545454545455
std_acc,0.06287860533014757,0.09138059544093864,0.11964133728263347,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.06800583348823651,0.12451890891622022,0.09570961591455895,0.08354243737751016,0.04737750625743773,0.08740993002953722,0.07461194374066615,0.09119953602897782,0.07820824077819313,0.06695255505280714,0.07873483062608953,0.07987593685995925
mean_roc,0.9431084656084655,0.6554761904761905,0.6249007936507937,0.5,0.5,0.5,0.8418320105820106,0.8788492063492065,0.8703571428571429,0.9138227513227513,0.8640410052910052,0.9127380952380951,0.8391468253968254,0.9022751322751322,0.9269973544973545,0.9285648148148148,0.8996825396825396,0.8779761904761904
std_roc,0.05434889497636168,0.05449672682897389,0.09256241595372673,0.0,0.0,0.0,0.07052246072186041,0.10823903535929262,0.07312446874110888,0.06576120427147303,0.055131610658361564,0.0891526698348105,0.07543884846030514,0.08518094467574812,0.0665411548415409,0.06051301385387289,0.07075755138751812,0.07127574037876208
