,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9154545454545454,0.6590909090909092,0.600909090909091,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8309090909090908,0.8672727272727272,0.8281818181818181,0.9063636363636365,0.8372727272727273,0.8963636363636365,0.82,0.8763636363636363,0.9154545454545454,0.9145454545454547,0.8672727272727274,0.85
std_acc,0.07820824077819313,0.06314747267931729,0.09547185990153251,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.07875057391893714,0.10278759290983687,0.11480850027562067,0.0576466867726825,0.07578242016860882,0.08749970484011609,0.10129736928861179,0.08635885154209393,0.08814432192491645,0.06695255505280714,0.09622631725381266,0.08254725668837734
mean_roc,0.93130291005291,0.678968253968254,0.6240873015873016,0.5,0.5,0.5,0.8407936507936509,0.8834325396825398,0.865079365079365,0.9185449735449736,0.8584193121693122,0.9138293650793651,0.8400793650793652,0.8967195767195767,0.92614417989418,0.9219775132275132,0.8766071428571429,0.8776455026455026
std_roc,0.06764808815590981,0.03633531913966911,0.07290953695841894,0.0,0.0,0.0,0.0666250342416776,0.07909926965649865,0.09514714480696201,0.0514964452252025,0.0747617014459504,0.07430607476454114,0.08852920247070037,0.07417329782014155,0.08260440123367885,0.05946812540897304,0.09834452844083617,0.06852327438500803
