,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9236363636363636,0.6381818181818182,0.6272727272727272,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8272727272727274,0.8636363636363636,0.8390909090909091,0.9127272727272728,0.8490909090909092,0.8854545454545455,0.8200000000000001,0.8690909090909091,0.9045454545454547,0.9154545454545454,0.8945454545454548,0.8390909090909091
std_acc,0.05592202363356253,0.0922447337742969,0.12128785512842123,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.09866882582701916,0.11119188982851387,0.05735924201580856,0.05350523261658967,0.07354090333147884,0.07172030153933096,0.11035629749449831,0.10173698060754749,0.040909090909090895,0.08615285282326277,0.05161843478755777,0.1012361611805708
mean_roc,0.9368584656084655,0.6561309523809523,0.6484920634920635,0.5,0.5,0.5,0.8392460317460317,0.8806812169312168,0.8760714285714286,0.9226917989417988,0.8693187830687832,0.9113095238095237,0.837718253968254,0.8899074074074074,0.9226719576719576,0.9274338624338624,0.8968849206349205,0.8707275132275132
std_roc,0.04721194894031515,0.06643113450612767,0.10004220103489464,0.0,0.0,0.0,0.08270082141634245,0.10435759545091618,0.05009121288842562,0.04913616533220935,0.05881331142434566,0.05988015030966932,0.08914099603280941,0.08397076169894961,0.034019286814503176,0.0813905979353066,0.06072984874193823,0.09002490020688961
