,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9436363636363637,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8563636363636362,0.8654545454545455,0.8472727272727273,0.9236363636363636,0.8672727272727274,0.9054545454545455,0.8290909090909091,0.8763636363636366,0.8872727272727273,0.9345454545454546,0.9145454545454547,0.8281818181818184
std_acc,0.06149648918286458,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.06412797123108506,0.12951275504369547,0.10121575025248568,0.05894387300889936,0.09440549080543394,0.10477839661253753,0.08349790911421842,0.07387727146876377,0.053505232616589654,0.059167782164629,0.09019721276227242,0.1406860404712247
mean_roc,0.9529497354497355,0.5,0.5,0.5,0.5,0.5,0.8599404761904761,0.8824404761904763,0.8730026455026454,0.9346825396825397,0.8806878306878307,0.9241071428571429,0.8449404761904763,0.8998280423280424,0.8974735449735449,0.9413227513227513,0.9191468253968255,0.8603571428571428
std_roc,0.05490535998854366,0.0,0.0,0.0,0.0,0.0,0.06828005972783993,0.11255629907607659,0.08531490090906971,0.057331300281238326,0.08626898032114706,0.0815475828409142,0.08377881917482509,0.05535418910782331,0.04571965907573579,0.05686630702751419,0.08820997684926028,0.1066554996267285
