,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9218181818181819,0.6263636363636362,0.63,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8309090909090908,0.86,0.8272727272727274,0.8945454545454545,0.8563636363636364,0.8772727272727273,0.7990909090909091,0.8854545454545455,0.9263636363636364,0.9027272727272727,0.8945454545454545,0.8581818181818182
std_acc,0.059502066079831155,0.08714479259274796,0.10818181818181818,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.09056297749390743,0.10963500677586425,0.09508586810903914,0.09809760698339061,0.06412797123108505,0.10230807469970456,0.11994833598589488,0.11464642014861415,0.12743171887409588,0.08953968601631808,0.08927624507047938,0.09431790799522134
mean_roc,0.9352380952380951,0.6433134920634921,0.6484920634920635,0.5,0.5,0.5,0.8466732804232804,0.8881481481481481,0.865978835978836,0.9057671957671957,0.8729298941798941,0.8979497354497354,0.8178968253968254,0.9013492063492062,0.9401256613756613,0.9075793650793649,0.9021825396825397,0.8869047619047619
std_roc,0.05704226706396253,0.06614723771876742,0.08096717301830393,0.0,0.0,0.0,0.08755217987874497,0.0976527504516995,0.08583720120832854,0.09443364228385212,0.068832381145588,0.08151521968665962,0.10532114591462612,0.08939621909460253,0.10388440404363947,0.08630750773051298,0.08251506806363298,0.07975612985490901
