,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9427272727272727,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.85,0.8581818181818182,0.8754545454545456,0.9254545454545454,0.8663636363636364,0.9054545454545455,0.8300000000000001,0.8954545454545455,0.8863636363636364,0.9254545454545454,0.8781818181818182,0.8354545454545453
std_acc,0.06206501523163011,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.10850219939119793,0.08712108036880684,0.07352404452943907,0.08951660818248124,0.0767145616355992,0.07297684451050716,0.12257903505375926,0.07959089611131194,0.06950236335835416,0.08189895003312878,0.08284207818105101,0.12586559800171998
mean_roc,0.9517394179894179,0.5,0.5,0.5,0.5,0.5,0.8541071428571427,0.8721362433862433,0.896468253968254,0.9325529100529101,0.8861507936507935,0.9218849206349207,0.8521626984126984,0.9076719576719576,0.9030224867724869,0.9312103174603175,0.891441798941799,0.8664947089947089
std_roc,0.04985800547010102,0.0,0.0,0.0,0.0,0.0,0.09706084963437127,0.0719338454196912,0.07118431561884585,0.0812534699273911,0.07385664778317996,0.07380856640870789,0.11626213643955,0.07383911977038736,0.06852582805334965,0.07680909215100926,0.07541251229180797,0.10058781615162678
