,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9145454545454544,0.8763636363636363,0.8963636363636365,0.7627272727272727,0.7527272727272727,0.6572727272727273,0.9218181818181819,0.9054545454545455,0.9254545454545454,0.9218181818181819,0.9236363636363636,0.9136363636363637,0.9236363636363636,0.9172727272727272,0.9036363636363637,0.9245454545454546,0.8754545454545454,0.8754545454545454
std_acc,0.10067540509023365,0.1114294796075968,0.04848106045808501,0.11122533155790228,0.07690285811838765,0.09578298473783983,0.09767546195318759,0.057668187371468005,0.08951660818248124,0.08683602862734222,0.038397658330805225,0.09902416434369411,0.09183168217581374,0.0950380524051218,0.0895535298619982,0.07135639801160146,0.10516024765067081,0.14748861841506097
mean_roc,0.9280621693121691,0.881904761904762,0.8993650793650794,0.8107473544973545,0.7985582010582011,0.7190277777777777,0.9356084656084654,0.9234325396825396,0.9391005291005291,0.9375992063492063,0.935866402116402,0.9318783068783068,0.937718253968254,0.9366931216931217,0.915568783068783,0.9407208994708995,0.8975595238095238,0.8987830687830687
std_roc,0.07485315244394866,0.0985770437145133,0.04754324323523018,0.10187725688965807,0.056758770662225816,0.09546627688595474,0.08567721922921966,0.058009809711821285,0.07755885464809514,0.07077863756833151,0.03625202714841191,0.08646816898189501,0.07685804445767797,0.07549938374247996,0.07707459365652464,0.05780464937859173,0.09135012212868228,0.1162948873289194
