,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9063636363636365,0.9054545454545455,0.8481818181818183,0.7145454545454545,0.63,0.6018181818181818,0.8881818181818183,0.8772727272727272,0.9136363636363637,0.9418181818181818,0.8954545454545455,0.9145454545454547,0.8845454545454547,0.9336363636363638,0.9036363636363637,0.9336363636363638,0.8963636363636365,0.8681818181818182
std_acc,0.09289201052746522,0.07297684451050718,0.07519121629728077,0.13552469202606712,0.16514706694037368,0.16397943834013798,0.06742611505741329,0.08254725668837733,0.0827472503350808,0.06532816081171519,0.06583852021272692,0.0783296699219564,0.08431052403353874,0.05962000884388942,0.09835002426398924,0.07452882297839844,0.07748100273695459,0.0729825066779138
mean_roc,0.9270370370370369,0.9246362433862434,0.8759656084656084,0.7739748677248677,0.6937632275132274,0.6765211640211641,0.9013425925925926,0.8950330687830685,0.938015873015873,0.9599140211640214,0.9082671957671957,0.9321362433862432,0.9052380952380952,0.9506944444444443,0.9120039682539682,0.943313492063492,0.9148941798941799,0.8948941798941797
std_roc,0.07229999373893614,0.05818171162638017,0.0644227098647464,0.11641157162325629,0.14022654548532157,0.10644009021676279,0.0628182739755518,0.07566315308758809,0.053231298252350005,0.04218648255400853,0.054582776774823,0.06185686040988668,0.07427200855452958,0.042228846337106635,0.10277012634692324,0.06104653166309058,0.06293584071918923,0.06421183046040534
