,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9336363636363638,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8572727272727274,0.8590909090909091,0.8581818181818182,0.9145454545454547,0.8836363636363638,0.9118181818181819,0.8290909090909091,0.8872727272727273,0.8963636363636365,0.9245454545454546,0.9045454545454545,0.8281818181818181
std_acc,0.07452882297839845,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.09386556238393765,0.07532299595082674,0.07476685525437121,0.07608173073784609,0.08612886750783282,0.08292683223259063,0.07293153134593301,0.10711853324840317,0.07748100273695459,0.06888126087096223,0.08759882258916649,0.09212370411302474
mean_roc,0.9469047619047618,0.5,0.5,0.5,0.5,0.5,0.8615410052910052,0.8757671957671957,0.8856150793650794,0.9256283068783068,0.9019444444444444,0.9242989417989419,0.8488293650793652,0.9051719576719576,0.903095238095238,0.9286640211640211,0.9106547619047619,0.8611177248677248
std_roc,0.05732370522436629,0.0,0.0,0.0,0.0,0.0,0.09168850592474329,0.07119220518389044,0.06913595027322188,0.061677181175136334,0.07297406498022412,0.07320680049489885,0.0641825334261726,0.09215715735616757,0.07810700284013067,0.06626038331900332,0.08492397495656798,0.07594281245994454
