,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9218181818181819,0.6254545454545454,0.6218181818181818,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8263636363636364,0.8463636363636364,0.8290909090909091,0.9163636363636364,0.8572727272727272,0.8854545454545454,0.8072727272727274,0.8736363636363638,0.9045454545454545,0.8945454545454548,0.8845454545454545,0.8381818181818183
std_acc,0.07443450723803169,0.09890307468333928,0.08061745191780131,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.12347917815573817,0.11595453654538293,0.1123601058580391,0.08603285937687984,0.10726117040982701,0.12164166315401986,0.08793310755886363,0.09820285969813997,0.08759882258916649,0.06829687262179253,0.11141835390444817,0.1499200889068948
mean_roc,0.9374603174603175,0.6401785714285714,0.6454563492063492,0.5,0.5,0.5,0.8364880952380952,0.8666534391534391,0.863181216931217,0.9294246031746031,0.8757539682539683,0.9032936507936509,0.8260317460317461,0.8911177248677248,0.9218386243386242,0.9079695767195768,0.8924404761904763,0.863015873015873
std_roc,0.054887407945906935,0.07692095929564292,0.06629647608941612,0.0,0.0,0.0,0.11861191597755669,0.10509152622818656,0.09007068738357421,0.07685064776306326,0.09031073007534737,0.08356299607738511,0.08223218055770123,0.08939928623351943,0.07273364263282245,0.0653213004827538,0.10369399372294988,0.13078460405498932
