,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9172727272727272,0.6272727272727272,0.639090909090909,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8209090909090909,0.8554545454545455,0.8354545454545456,0.9054545454545455,0.8481818181818183,0.8945454545454545,0.8099999999999999,0.8663636363636364,0.9163636363636364,0.9036363636363637,0.8763636363636363,0.8663636363636364
std_acc,0.07567328644238819,0.07111857169311982,0.07486075227650975,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.12115491074114254,0.12520726617945235,0.12723700797467344,0.09290535484393611,0.09465465721363849,0.14938994401197433,0.11904926405789863,0.09073164500304554,0.07582057986179286,0.07531750973530173,0.09545021635204863,0.07894448305587083
mean_roc,0.937526455026455,0.6458730158730159,0.6563293650793651,0.5,0.5,0.5,0.8366931216931217,0.8794973544973544,0.8718121693121693,0.9177579365079366,0.8678835978835979,0.9110515873015874,0.8207738095238095,0.8818386243386243,0.9333862433862434,0.9120436507936509,0.8836706349206349,0.8903108465608465
std_roc,0.05564658704702207,0.061440298191614666,0.052451360358447816,0.0,0.0,0.0,0.10657503448866655,0.11217869816350844,0.09539865489182343,0.07770917619644259,0.08391387394710563,0.11362414787235067,0.11959642186359487,0.08165980516832831,0.0627943350696449,0.07335116737124305,0.08659708754515127,0.06636799969119148
