,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.8963636363636363,0.8763636363636363,0.8863636363636364,0.7581818181818181,0.7245454545454546,0.6663636363636363,0.9145454545454547,0.9045454545454547,0.9418181818181818,0.9345454545454546,0.9227272727272728,0.9063636363636365,0.8836363636363636,0.9245454545454546,0.8954545454545455,0.9127272727272728,0.9063636363636365,0.8481818181818183
std_acc,0.11231596517440363,0.09174164226576628,0.09210576026709819,0.1348522301148266,0.1660951634027467,0.11895203561461025,0.06695255505280716,0.10478234032018567,0.0653281608117152,0.08250219130573402,0.07184119309138307,0.09289201052746522,0.10355658811562285,0.07998450263117865,0.09818602684582257,0.06719897677300482,0.07054100267115032,0.09280299938156567
mean_roc,0.9206944444444444,0.8836904761904762,0.891031746031746,0.8122354497354497,0.7766732804232804,0.7127513227513228,0.925026455026455,0.9180886243386244,0.9538227513227513,0.9510251322751323,0.9318650793650793,0.918505291005291,0.8992923280423281,0.9384126984126985,0.9156084656084655,0.9248677248677251,0.9264484126984127,0.8774206349206348
std_roc,0.0923865879649339,0.09194988200758808,0.08032846833090382,0.10965218733700066,0.1305861014064378,0.10402865132483581,0.05878166237560529,0.09015276753771344,0.06165134331894961,0.05668832281301547,0.06345753029127177,0.08691263765622433,0.10035678654004583,0.06790545120785885,0.0807030679948752,0.06698120009779379,0.060843961656585316,0.08682936156307071
