,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.8772727272727273,0.9036363636363637,0.8481818181818183,0.7709090909090909,0.6572727272727271,0.6727272727272727,0.9236363636363636,0.8745454545454546,0.9036363636363637,0.9245454545454546,0.8872727272727273,0.9145454545454547,0.8745454545454546,0.9318181818181819,0.9054545454545455,0.9345454545454546,0.8763636363636363,0.8854545454545455
std_acc,0.08462361978072898,0.0895535298619982,0.11383981786805267,0.10283582358094018,0.10066309080909282,0.14904655659577598,0.10382757480195806,0.07549287088009705,0.09835002426398924,0.07135639801160146,0.09733642774053944,0.06695255505280716,0.10654607508351717,0.07748633577221829,0.09290535484393611,0.05916778216462901,0.13570751241408796,0.0845210130848688
mean_roc,0.9062103174603173,0.9218187830687832,0.8789021164021165,0.8178108465608466,0.7193849206349207,0.7333928571428571,0.9428769841269841,0.8965079365079365,0.919080687830688,0.9383134920634919,0.9118584656084655,0.9321825396825396,0.8935714285714285,0.9451984126984125,0.9256084656084657,0.9454894179894179,0.8936441798941799,0.9086177248677249
std_roc,0.07380764188731287,0.06250346740192732,0.09430886237588572,0.08140510323114619,0.08280484795526864,0.12182691722591922,0.07742700349275093,0.05753866994182898,0.08722628952752759,0.06640244610101756,0.0837145373664688,0.054995819717910815,0.09674722807442943,0.056988935111297497,0.08002435499452806,0.05306278221253621,0.11827076944227578,0.07745419503236939
