,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.8945454545454548,0.8972727272727272,0.8390909090909092,0.7336363636363636,0.6081818181818182,0.6063636363636363,0.9063636363636365,0.8681818181818182,0.8836363636363636,0.9445454545454546,0.8663636363636364,0.9054545454545455,0.8654545454545455,0.9254545454545454,0.9509090909090909,0.9145454545454547,0.8945454545454545,0.8763636363636363
std_acc,0.07948179270688868,0.11082336478296524,0.14771258668259388,0.1408973602155217,0.10889755592275896,0.14562773779925625,0.0576466867726825,0.15131653648850157,0.11280056268542618,0.073231208629623,0.07441785087548294,0.057668187371468005,0.11028138315724181,0.08951660818248122,0.04915820303489372,0.06430814248664506,0.09308309626305604,0.04248480525653788
mean_roc,0.9167261904761904,0.9158002645502645,0.8576521164021165,0.7925925925925926,0.6800859788359789,0.688531746031746,0.9156283068783069,0.893068783068783,0.9013293650793651,0.957850529100529,0.8883928571428571,0.931739417989418,0.8854497354497355,0.9407671957671958,0.9617857142857142,0.9239682539682539,0.9132473544973545,0.9074867724867725
std_roc,0.06704216974468735,0.07855696632840248,0.1260038463639975,0.10874044094587139,0.0779036042304732,0.11126410715549855,0.05961140710482245,0.11947781178891816,0.0979949872516703,0.05815957253114164,0.07115188825044702,0.04813554084099494,0.08470253355356144,0.07239998255935406,0.038959201095020025,0.058628974935095314,0.09118905082556672,0.03066323019623045
