,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9036363636363636,0.8954545454545455,0.8572727272727272,0.7627272727272727,0.6463636363636364,0.5999999999999999,0.9254545454545455,0.8763636363636366,0.9045454545454545,0.9227272727272728,0.8672727272727274,0.9127272727272728,0.8863636363636364,0.9218181818181819,0.9036363636363637,0.9327272727272728,0.8945454545454545,0.8663636363636364
std_acc,0.1303016208521376,0.0483188446033393,0.10886719485548657,0.05841572300515401,0.11595453654538294,0.11811186741026702,0.06861077186950255,0.08635885154209395,0.08759882258916649,0.059230604106406994,0.13625450178323778,0.06973385058460038,0.10238882299538445,0.09588215907952881,0.06060303022726892,0.06287860533014757,0.1277394041472749,0.062330762605170696
mean_roc,0.9232671957671957,0.9136243386243386,0.8774206349206348,0.7983531746031746,0.7119973544973545,0.6801719576719576,0.9407671957671958,0.8900330687830689,0.9308862433862434,0.9381349206349204,0.8883267195767196,0.9371759259259258,0.9071825396825398,0.9366071428571429,0.9224140211640212,0.9446362433862434,0.9125793650793652,0.8896164021164022
std_roc,0.1072173168663963,0.04077996419774991,0.08905980729227024,0.07607408075544914,0.11413370040310297,0.11129391692200681,0.056588178158352424,0.07521464606091935,0.06478454643630757,0.04673322917362665,0.12139100210878943,0.05524257905956475,0.08553059387898586,0.07880582971009378,0.05294019024301218,0.06142096065091649,0.10958544389530671,0.06700454893810763
