,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9136363636363637,0.8845454545454545,0.8954545454545455,0.7581818181818182,0.6845454545454546,0.6863636363636363,0.9063636363636365,0.9045454545454547,0.9418181818181818,0.9354545454545455,0.9236363636363636,0.9045454545454547,0.9036363636363637,0.9245454545454546,0.9054545454545456,0.9036363636363637,0.9254545454545454,0.8654545454545455
std_acc,0.05335829305756067,0.0714721236763671,0.07959089611131194,0.15965872694879255,0.09706860486061794,0.056370967265190905,0.07295985537175746,0.06060984836648465,0.07694583261635934,0.07140271078494159,0.05592202363356253,0.07532299595082674,0.11693043775137112,0.07135639801160146,0.0705585742252082,0.11693043775137112,0.07109532653097145,0.07625533445640277
mean_roc,0.9264219576719576,0.8857473544973544,0.9037367724867724,0.8093452380952382,0.7476719576719577,0.7371296296296296,0.9240277777777777,0.9173941798941799,0.9535251322751324,0.9513690476190476,0.9376521164021163,0.9178306878306877,0.9187103174603175,0.9388690476190475,0.9208862433862434,0.9132275132275133,0.9424537037037037,0.8889616402116403
std_roc,0.06024080407256069,0.07553933465306002,0.07842235096900164,0.13928852510391362,0.07720461525134473,0.07650568958148664,0.06213523529935689,0.06287606270226329,0.06310949037892899,0.06037072431544427,0.04353837586311084,0.07475014019591972,0.09733124960559093,0.06220568457848164,0.0636725608982226,0.11745005004817925,0.06771204880593958,0.06530571743304613
