,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9245454545454546,0.8963636363636365,0.849090909090909,0.7781818181818182,0.6281818181818182,0.6736363636363636,0.8854545454545454,0.8745454545454546,0.9054545454545455,0.9254545454545455,0.9045454545454547,0.9236363636363636,0.9027272727272727,0.9245454545454546,0.9327272727272728,0.9254545454545454,0.9072727272727272,0.8681818181818182
std_acc,0.07998450263117865,0.0774810027369546,0.09699620849708464,0.13343522277751835,0.12717203809299935,0.0965906417108599,0.08030931936493736,0.13172724135767241,0.09290535484393611,0.06861077186950255,0.08354243737751016,0.08645449765795449,0.09833741878798882,0.05560337703044736,0.06287860533014757,0.09143484335040114,0.07051170701696477,0.07298250667791381
mean_roc,0.9444246031746031,0.9206547619047619,0.8723941798941798,0.8185383597883599,0.6944708994708995,0.7315145502645503,0.9029497354497353,0.8921428571428571,0.925489417989418,0.9415608465608466,0.9218584656084655,0.9409259259259258,0.9157275132275131,0.9390806878306878,0.9448214285714285,0.9369510582010582,0.9264417989417989,0.8971428571428571
std_roc,0.06958638838052893,0.06571370161633672,0.07706688060270679,0.10234268990420738,0.11237713399261456,0.08577064359283519,0.06073153954791183,0.11036038904376726,0.07124173462701833,0.05689354877604527,0.06655833251039425,0.0659055706195093,0.08443627320035148,0.05138112926850048,0.05118420427309377,0.07350579236132343,0.05166004232600912,0.06229762594265333
