,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9154545454545456,0.8763636363636363,0.8827272727272728,0.7536363636363637,0.7,0.6299999999999999,0.9254545454545454,0.8945454545454545,0.9327272727272728,0.9245454545454546,0.9072727272727272,0.9036363636363637,0.9136363636363637,0.9345454545454546,0.9154545454545454,0.9272727272727274,0.8872727272727273,0.8472727272727273
std_acc,0.11281887773574827,0.0616843471043177,0.10828871723772396,0.11730091275105838,0.18873217720024268,0.08212568477141337,0.07975168072531384,0.1196551518819847,0.07487731011626908,0.06888126087096223,0.09098178911415855,0.12379668749490329,0.1174980217874622,0.07178940735418046,0.04963503161715889,0.09791208740244552,0.09038028015735684,0.07902295931672992
mean_roc,0.9350727513227512,0.8825727513227513,0.884920634920635,0.795357142857143,0.7559722222222223,0.6926917989417989,0.9407936507936508,0.9108465608465608,0.9392460317460317,0.9433597883597884,0.9234589947089947,0.9237103174603174,0.927063492063492,0.9475727513227513,0.9317195767195766,0.9394708994708996,0.9038492063492063,0.8762103174603174
std_roc,0.08651384242133202,0.06224512889382311,0.10316036989735707,0.08434006408389184,0.13588495980408363,0.06946152000950413,0.06454734250477091,0.10130278289011413,0.07004753991629196,0.04963102569081472,0.0704557383019352,0.08957463175584372,0.0967876666664988,0.05724003691863441,0.042739139179499765,0.08108027988225175,0.0818570674472014,0.07264543189561366
