,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9145454545454547,0.9054545454545455,0.8681818181818182,0.7227272727272728,0.6281818181818182,0.6390909090909092,0.8872727272727273,0.8654545454545456,0.9063636363636365,0.9336363636363638,0.8772727272727272,0.9136363636363637,0.8781818181818183,0.9136363636363637,0.9436363636363637,0.9236363636363636,0.9063636363636363,0.8963636363636365
std_acc,0.0531954139575556,0.09475501251487549,0.11805937713254978,0.09894067009247061,0.067229715979943,0.173826644906179,0.10711853324840317,0.16781532549524308,0.09655641095166995,0.07452882297839845,0.07421768295231207,0.06708203932499368,0.10711853324840317,0.08062257748298547,0.07372049066441196,0.07160497697278259,0.07054100267115034,0.0632716823320193
mean_roc,0.9297949735449734,0.9227116402116401,0.8949338624338624,0.7765277777777777,0.6993452380952381,0.7035978835978836,0.9020171957671957,0.8866798941798942,0.9257275132275133,0.9506944444444445,0.8980886243386242,0.9338690476190475,0.8966005291005292,0.9321362433862432,0.9547023809523809,0.9353769841269841,0.923611111111111,0.9188756613756613
std_roc,0.05290353175752622,0.0797056910548358,0.09486284373075327,0.10112558199428703,0.08063153692654965,0.14120728840721972,0.09374246911327379,0.1374474941169749,0.07896931747974396,0.05240456493403917,0.07120821665403242,0.06423296937221087,0.08897857814538661,0.06973650131733161,0.06300845396832842,0.06199481202235453,0.05270462766947297,0.05517759437868574
