,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.8872727272727271,0.8854545454545455,0.8654545454545456,0.7127272727272727,0.6372727272727273,0.6499999999999999,0.9218181818181819,0.8936363636363638,0.9036363636363637,0.9118181818181817,0.8936363636363638,0.8863636363636364,0.9054545454545455,0.9163636363636364,0.9436363636363637,0.9227272727272728,0.849090909090909,0.8636363636363636
std_acc,0.09228056393054193,0.11464642014861415,0.11605071561623961,0.10556420630541663,0.1436507472660085,0.11001502526984198,0.08481384574320434,0.07936212640446332,0.07531750973530173,0.09421708711339061,0.10317681205316699,0.13467131705141833,0.07055857422520818,0.08603285937687984,0.06149648918286458,0.059230604106406994,0.09334907383995227,0.1251775598404255
mean_roc,0.90734126984127,0.9081349206349205,0.8868981481481482,0.7676124338624339,0.7017592592592592,0.7101984126984127,0.9342195767195767,0.9076190476190475,0.9238227513227513,0.9304960317460317,0.9188756613756613,0.9093849206349205,0.9209722222222222,0.9378505291005291,0.9512103174603175,0.9337301587301587,0.876441798941799,0.8882936507936506
std_roc,0.07552876462828041,0.08734684973846545,0.09108511830688878,0.09072676521135295,0.12418913111551268,0.09246585146672667,0.06982643240661396,0.07141810990408955,0.06508230087583866,0.0697570656040525,0.08202559599723153,0.11827297739247086,0.057273608265096254,0.07092045074030029,0.05033620666889847,0.056867308521976266,0.07860738848958963,0.10318952120477225
