,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9227272727272728,0.6581818181818181,0.6299999999999999,0.48636363636363633,0.48636363636363633,0.48636363636363633,0.8227272727272729,0.8672727272727272,0.8363636363636365,0.9181818181818182,0.8390909090909091,0.9072727272727272,0.8209090909090909,0.8572727272727274,0.9036363636363637,0.9254545454545454,0.8409090909090908,0.8381818181818183
std_acc,0.08462361978072898,0.10903028618592693,0.11556901984142394,0.029105110170149315,0.029105110170149315,0.029105110170149315,0.11805937713254978,0.06287860533014755,0.09983457391485344,0.10325287901455042,0.05735924201580856,0.08349790911421841,0.08786258993874357,0.06206501523163011,0.08759410523960656,0.09143484335040113,0.1416111542508727,0.07190443612103703
mean_roc,0.9341798941798942,0.6762896825396826,0.6480753968253968,0.5,0.5,0.5,0.8353042328042328,0.8864417989417989,0.8716798941798942,0.9324537037037037,0.8621164021164022,0.9213492063492064,0.836765873015873,0.880079365079365,0.9165211640211641,0.9364351851851852,0.8570238095238094,0.8688558201058202
std_roc,0.06934780880248406,0.08658632179402871,0.07219158440065324,0.0,0.0,0.0,0.1123107862006716,0.0541212234517694,0.07795006091815795,0.09308951149407628,0.04845088231659473,0.07673674661909406,0.08353179551708372,0.05201813379376698,0.08134019823656911,0.0806587381957163,0.11858372580246948,0.06601072128578028
