,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.8854545454545455,0.8963636363636365,0.8390909090909091,0.7063636363636363,0.6081818181818182,0.6172727272727274,0.9136363636363637,0.8772727272727273,0.8863636363636364,0.9227272727272728,0.9054545454545455,0.9227272727272728,0.8936363636363638,0.9227272727272728,0.9236363636363636,0.9236363636363638,0.8872727272727273,0.8936363636363638
std_acc,0.12825594246217017,0.08749970484011609,0.1222414627146271,0.15667252787816865,0.1454801113895551,0.19174923362308732,0.08062257748298547,0.07421768295231207,0.10407006540017495,0.07421768295231208,0.09290535484393611,0.059230604106406994,0.0929809364625596,0.059230604106406994,0.05592202363356253,0.07160497697278259,0.0785404038780188,0.08362154018834546
mean_roc,0.9046560846560846,0.9140873015873016,0.8570304232804233,0.7624801587301586,0.6846428571428571,0.6872089947089948,0.9288888888888888,0.8947552910052909,0.9060251322751322,0.9386904761904763,0.9234391534391534,0.9411838624338623,0.909563492063492,0.9363095238095237,0.9378505291005291,0.9372949735449735,0.9025595238095239,0.9216997354497355
std_roc,0.1057701403201978,0.07654494012645457,0.10406233142982788,0.12547362069935503,0.11695160931497602,0.1605889679507096,0.06645742626804653,0.06610920059708879,0.08247770538294319,0.05511081909164825,0.07200515740815824,0.04757748268646157,0.08797274481156092,0.050103822669606085,0.0462348519883084,0.0633821624483488,0.06222915932033222,0.05479537428048104
