,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9227272727272728,0.8972727272727272,0.8618181818181817,0.75,0.6136363636363636,0.6536363636363636,0.9263636363636364,0.8836363636363636,0.8963636363636365,0.9245454545454546,0.8945454545454548,0.9036363636363637,0.8881818181818181,0.9354545454545455,0.9227272727272728,0.9227272727272726,0.9127272727272728,0.8763636363636363
std_acc,0.07184119309138307,0.11542590911865397,0.12303328851430667,0.08254725668837737,0.17852703108057974,0.19325185896062047,0.11372360287662218,0.09704731741878195,0.04848106045808501,0.09535059274692573,0.05161843478755777,0.06060303022726892,0.09054928798018791,0.09167405429784894,0.059230604106406994,0.08665024213936116,0.08071990138335676,0.07148946636849998
mean_roc,0.944265873015873,0.9134589947089948,0.8890343915343916,0.7957804232804233,0.6903703703703704,0.7245502645502645,0.940026455026455,0.9041071428571428,0.9183664021164022,0.9403769841269842,0.9143386243386245,0.9286640211640211,0.9041468253968254,0.9485714285714286,0.9337301587301587,0.9339880952380952,0.9264682539682539,0.9022288359788361
std_roc,0.05490796386194681,0.10916671254543639,0.10632461497383908,0.06492165904764806,0.13619565995117308,0.14284519105402824,0.09462591590560873,0.07662312315082007,0.040359807456269076,0.08457033753660724,0.044511110714880064,0.04198540845805366,0.08558307904969946,0.07224973311715503,0.04773918377415479,0.06286089116710003,0.0701074473206383,0.06215383158888225
