,xception ternary,vgg16 ternary,vgg19 ternary,resnet50 ternary,resnet101 ternary,resnet152 ternary,resnetv250 ternary,resnetv2101 ternary,resnetv2152 ternary,inc3 ternary,incr2 ternary,mobile ternary,mobilev2 ternary,densenet121 ternary,densenet169 ternary,densenet201 ternary,nasnetm ternary,nasnetl ternary
mean_acc,0.9245454545454546,0.8663636363636364,0.9045454545454547,0.759090909090909,0.7327272727272727,0.6463636363636363,0.9145454545454547,0.8954545454545455,0.9136363636363638,0.9227272727272726,0.9145454545454547,0.9236363636363636,0.9045454545454545,0.9327272727272726,0.9163636363636364,0.9245454545454546,0.9236363636363638,0.8772727272727273
std_acc,0.08212568477141331,0.12183514128892599,0.0875988225891665,0.10222726262177081,0.11784567580435494,0.06698340734468598,0.06695255505280714,0.09993799730725607,0.06962117090380288,0.09571393328451919,0.04982614402198079,0.05894387300889936,0.10926123067641888,0.08918362522495071,0.09696212091617004,0.08212568477141331,0.05894387300889936,0.132006135594944
mean_roc,0.9381547619047618,0.8715873015873015,0.9102380952380953,0.8148544973544973,0.7775793650793651,0.7023214285714287,0.9288955026455026,0.9167394179894179,0.926283068783069,0.9403769841269842,0.9274669312169312,0.9468783068783069,0.9234259259259259,0.9469510582010582,0.9296097883597885,0.9339880952380952,0.9367394179894178,0.8942460317460317
std_roc,0.07643788626502011,0.1179121711628602,0.0867107623009729,0.07849067586149916,0.11144785517276026,0.048566634171769645,0.05999694711084412,0.07884234515193506,0.06812546350073437,0.07751388916822181,0.04139537584377566,0.0376356899539551,0.08537649612472381,0.07483504887588724,0.08236193749460612,0.07499596077558486,0.05342979882041879,0.10822797074136448
